route_name,area,ideal_score,confidence,tier,notes,model_score,model_safety,model_comfort,model_path,model_len_m
seaport_northern_ave,Seaport (Northern Ave core),72,sure,mixed,"Quite accurate. Takes park route over road for seg #2; notices seg #8 is significantly worse than the rest (quite exposed).",71,0.55,0.82,0.90,644
seaport_blvd_convention,Seaport (Convention / D St),69,rough,mixed,"Overall score feels right, but safety slightly too low and surface slightly too high for segs #3 and #4.",71,0.51,0.95,0.90,657
fort_point_channel,Fort Point (converted warehouses),75,sure,mixed,"REVISED 70->75: feels great until the very end, so the original 70 was a bit harsh; model 75 matches well. Seg #4 reads bad on Street View (cuts across an industrial parking lot) but is short and a parking lot is hard to capture via geometry. TUNNEL FIX: tunneled Mass Pike / Big Dig (tunnel=yes, layer=-1) was treated as at-grade and cratered car_safety to ~0.05; underground roads now dropped from off-path. Seg #2 env 0.11->0.46, route 62->75. Residual is the sparse-eyes (low eyes_score) issue, not the tunnel.",75,0.60,0.88,0.90,657
eastie_jeffries_point,East Boston (new waterfront),70,rough,mixed,"Couldn't check the beginning/ending segments on Street View (appears to be a parking lot), but feels right overall.",74,0.74,0.72,0.76,762
southie_marine_park,South Boston (Marine Industrial Park / Black Falcon),62,poor,poor,"End is barred to the public (recent development; Google Maps makes the same error), but the first part scores look roughly correct. Unchanged by the tunnel fix (no nearby tunnel) - low score is genuine industrial + barred end.",51,0.28,0.80,0.83,1204
